Clade	RGB
B.1.112	rgb(56.026365348399246, 0.0, 198.97363465160075)
B.1.1.12	rgb(56.186440677966104, 0.0, 198.81355932203388)
B.1.1.120	rgb(56.346516007532955, 0.0, 198.65348399246705)
B.1.1.121	rgb(56.50659133709981, 0.0, 198.49340866290018)
B.1.1.122	rgb(56.66666666666667, 0.0, 198.33333333333331)
B.1.1.123	rgb(56.82674199623352, 0.0, 198.17325800376648)
B.1.1.125	rgb(56.98681732580038, 0.0, 198.0131826741996)
B.1.1.127	rgb(57.14689265536723, 0.0, 197.85310734463278)
B.1.1.128	rgb(57.30696798493409, 0.0, 197.6930320150659)
B.1.1.129	rgb(57.46704331450094, 0.0, 197.53295668549907)
B.1.113	rgb(57.6271186440678, 0.0, 197.3728813559322)
B.1.1.13	rgb(57.78719397363465, 0.0, 197.21280602636534)
B.1.1.130	rgb(57.94726930320151, 0.0, 197.0527306967985)
B.1.1.132	rgb(58.10734463276837, 0.0, 196.89265536723164)
B.1.1.133	rgb(58.26741996233522, 0.0, 196.73258003766477)
B.1.1.134	rgb(58.427495291902076, 0.0, 196.57250470809794)
B.1.1.135	rgb(58.58757062146893, 0.0, 196.41242937853107)
B.1.1.136	rgb(58.747645951035786, 0.0, 196.2523540489642)
B.1.1.137	rgb(58.90772128060264, 0.0, 196.09227871939737)
B.1.1.138	rgb(59.067796610169495, 0.0, 195.9322033898305)
B.1.1.139	rgb(59.227871939736346, 0.0, 195.77212806026364)
B.1.1.14	rgb(59.387947269303204, 0.0, 195.6120527306968)
B.1.1.141	rgb(59.548022598870055, 0.0, 195.45197740112994)
B.1.1.142	rgb(59.70809792843691, 0.0, 195.29190207156307)
B.1.1.144	rgb(59.86817325800377, 0.0, 195.13182674199624)
B.1.1.145	rgb(60.02824858757062, 0.0, 194.97175141242937)
B.1.1.148	rgb(60.18832391713748, 0.0, 194.8116760828625)
B.1.1.149	rgb(60.34839924670433, 0.0, 194.65160075329567)
B.1.115	rgb(60.50847457627119, 0.0, 194.4915254237288)
B.1.1.15	rgb(60.66854990583804, 0.0, 194.33145009416197)
B.1.1.152	rgb(60.8286252354049, 0.0, 194.1713747645951)
B.1.1.153	rgb(60.98870056497175, 0.0, 194.01129943502826)
B.1.1.154	rgb(61.14877589453861, 0.0, 193.8512241054614)
B.1.1.155	rgb(61.30885122410546, 0.0, 193.69114877589453)
B.1.1.157	rgb(61.46892655367232, 0.0, 193.5310734463277)
B.1.1.158	rgb(61.62900188323918, 0.0, 193.37099811676083)
B.1.1.159	rgb(61.78907721280603, 0.0, 193.21092278719397)
B.1.116	rgb(61.949152542372886, 0.0, 193.05084745762713)
B.1.1.16	rgb(62.10922787193974, 0.0, 192.89077212806026)
B.1.1.160	rgb(62.269303201506595, 0.0, 192.7306967984934)
B.1.1.161	rgb(62.429378531073446, 0.0, 192.57062146892656)
B.1.1.162	rgb(62.589453860640305, 0.0, 192.4105461393597)
B.1.1.163	rgb(62.749529190207156, 0.0, 192.25047080979283)
B.1.1.164	rgb(62.909604519774014, 0.0, 192.090395480226)
B.1.1.165	rgb(63.069679849340865, 0.0, 191.93032015065913)
B.1.1.166	rgb(63.22975517890772, 0.0, 191.77024482109226)
B.1.1.168	rgb(63.38983050847458, 0.0, 191.61016949152543)
B.1.1.169	rgb(63.54990583804143, 0.0, 191.45009416195856)
B.1.117	rgb(63.70998116760829, 0.0, 191.2900188323917)
B.1.1.17	rgb(63.87005649717514, 0.0, 191.12994350282486)
B.1.1.170	rgb(64.030131826742, 0.0, 190.96986817325802)
B.1.1.171	rgb(64.19020715630886, 0.0, 190.80979284369113)
B.1.1.172	rgb(64.35028248587571, 0.0, 190.6497175141243)
B.1.1.174	rgb(64.51035781544256, 0.0, 190.48964218455745)
B.1.1.175	rgb(64.67043314500941, 0.0, 190.3295668549906)
B.1.1.176	rgb(64.83050847457628, 0.0, 190.16949152542372)
B.1.1.177	rgb(64.99058380414313, 0.0, 190.0094161958569)
B.1.1.178	rgb(65.15065913370998, 0.0, 189.84934086629002)
B.1.118	rgb(65.31073446327684, 0.0, 189.68926553672316)
B.1.1.180	rgb(65.4708097928437, 0.0, 189.52919020715632)
B.1.1.181	rgb(65.63088512241055, 0.0, 189.36911487758945)
B.1.1.182	rgb(65.7909604519774, 0.0, 189.2090395480226)
B.1.1.184	rgb(65.95103578154426, 0.0, 189.04896421845575)
B.1.1.185	rgb(66.11111111111111, 0.0, 188.88888888888889)
B.1.1.186	rgb(66.27118644067797, 0.0, 188.72881355932202)
B.1.1.187	rgb(66.43126177024482, 0.0, 188.56873822975518)
B.1.1.189	rgb(66.59133709981168, 0.0, 188.40866290018832)
B.1.119	rgb(66.75141242937853, 0.0, 188.24858757062145)
B.1.1.190	rgb(66.91148775894538, 0.0, 188.08851224105462)
B.1.1.191	rgb(67.07156308851225, 0.0, 187.92843691148775)
B.1.1.192	rgb(67.2316384180791, 0.0, 187.76836158192089)
